HEX	CN_NANE	JP_NANE	EN_NANE
0115	节拍器	メトロノーム	Metronome
0116	黑色铁球	くろいてっきゅう	Iron Ball
0117	后攻之尾	こうこうのしっぽ	Lagging Tail
0118	红线	あかいいと	Destiny Knot
0119	黑色污泥	くろいヘドロ	Black Sludge
011A	冰冷岩石	つめたいいわ	Icy Rock
011B	沙沙岩石	さらさらいわ	Smooth Rock
011C	炽热岩石	あついいわ	Heat Rock
011D	潮湿岩石	しめったいわ	Damp Rock
011E	紧缠钩爪	ねばりのかぎづめ	Grip Claw
011F	讲究围巾	こだわりスカーフ	Choice Scarf
0120	附着针	くっつきバリ	Sticky Barb
0121	力量护腕	パワーリスト	Power Bracer
0122	力量腰带	パワーベルト	Power Belt
0123	力量镜	パワーレンズ	Power Lens
0124	力量束带	パワーバンド	Power Band
0125	力量护踝	パワーアンクル	Power Anklet
0126	力量负重	パワーウエイト	Power Weight
0127	美丽空壳	きれいなぬけがら	Shed Shell
0128	大根茎	おおきなねっこ	Big Root
0129	讲究眼镜	こだわりメガネ	Choice Specs
012A	火球石板	ひのたまプレート	Flame Plate
012B	水滴石板	しずくプレート	Splash Plate
012C	雷电石板	いかずちプレート	Zap Plate
012D	碧绿石板	みどりのプレート	Meadow Plate
012E	冰柱石板	つららのプレート	Icicle Plate
012F	拳头石板	こぶしのプレート	Fist Plate
0130	剧毒石板	もうどくプレート	Toxic Plate
0131	大地石板	だいちのプレート	Earth Plate
0132	蓝天石板	あおぞらプレート	Sky Plate
0133	神奇石板	ふしぎのプレート	Mind Plate
0134	玉虫石板	たまむしプレート	Insect Plate
0135	岩石石板	がんせきプレート	Stone Plate
0136	妖怪石板	もののけプレート	Spooky Plate
0137	龙之石板	りゅうのプレート	Draco Plate
0138	恶颜石板	こわもてプレート	Dread Plate
0139	钢铁石板	こうてつプレート	Iron Plate
013A	奇异薰香	あやしいおこう	Odd Incense
013B	岩石薰香	がんせきおこう	Rock Incense
013C	饱腹薰香	まんぷくおこう	Full Incense
013D	涟漪薰香	さざなみのおこう	Wave Incense
013E	花朵薰香	おはなのおこう	Rose Incense
013F	幸运薰香	こううんのおこう	Luck Incense
0140	洁净薰香	きよめのおこう	Pure Incense
0146	锐利之爪	するどいツメ	Razor Claw
0148	招式学习器０１	わざマシン０１	TM01
0149	招式学习器０２	わざマシン０２	TM02
014A	招式学习器０３	わざマシン０３	TM03
014B	招式学习器０４	わざマシン０４	TM04
014C	招式学习器０５	わざマシン０５	TM05
014D	招式学习器０６	わざマシン０６	TM06
014E	招式学习器０７	わざマシン０７	TM07
014F	招式学习器０８	わざマシン０８	TM08
0150	招式学习器０９	わざマシン０９	TM09
0151	招式学习器１０	わざマシン１０	TM10
0152	招式学习器１１	わざマシン１１	TM11
0153	招式学习器１２	わざマシン１２	TM12
0154	招式学习器１３	わざマシン１３	TM13
0155	招式学习器１４	わざマシン１４	TM14
0156	招式学习器１５	わざマシン１５	TM15
0157	招式学习器１６	わざマシン１６	TM16
0158	招式学习器１７	わざマシン１７	TM17
0159	招式学习器１８	わざマシン１８	TM18
015A	招式学习器１９	わざマシン１９	TM19
015B	招式学习器２０	わざマシン２０	TM20
015C	招式学习器２１	わざマシン２１	TM21
015D	招式学习器２２	わざマシン２２	TM22
015E	招式学习器２３	わざマシン２３	TM23
015F	招式学习器２４	わざマシン２４	TM24
0160	招式学习器２５	わざマシン２５	TM25
0161	招式学习器２６	わざマシン２６	TM26
0162	招式学习器２７	わざマシン２７	TM27
0163	招式学习器２８	わざマシン２８	TM28
0164	招式学习器２９	わざマシン２９	TM29
0165	招式学习器３０	わざマシン３０	TM30
0166	招式学习器３１	わざマシン３１	TM31
0167	招式学习器３２	わざマシン３２	TM32
0168	招式学习器３３	わざマシン３３	TM33
0169	招式学习器３４	わざマシン３４	TM34
016A	招式学习器３５	わざマシン３５	TM35
016B	招式学习器３６	わざマシン３６	TM36
016C	招式学习器３７	わざマシン３７	TM37
016D	招式学习器３８	わざマシン３８	TM38
016E	招式学习器３９	わざマシン３９	TM39
016F	招式学习器４０	わざマシン４０	TM40
0170	招式学习器４１	わざマシン４１	TM41
0171	招式学习器４２	わざマシン４２	TM42
0172	招式学习器４３	わざマシン４３	TM43
0173	招式学习器４４	わざマシン４４	TM44
0174	招式学习器４５	わざマシン４５	TM45
0175	招式学习器４６	わざマシン４６	TM46
0176	招式学习器４７	わざマシン４７	TM47
0177	招式学习器４８	わざマシン４８	TM48
0178	招式学习器４９	わざマシン４９	TM49
0179	招式学习器５０	わざマシン５０	TM50
017A	招式学习器５１	わざマシン５１	TM51
017B	招式学习器５２	わざマシン５２	TM52
017C	招式学习器５３	わざマシン５３	TM53
017D	招式学习器５４	わざマシン５４	TM54
017E	招式学习器５５	わざマシン５５	TM55
017F	招式学习器５６	わざマシン５６	TM56
0180	招式学习器５７	わざマシン５７	TM57
0181	招式学习器５８	わざマシン５８	TM58
0182	招式学习器５９	わざマシン５９	TM59
0183	招式学习器６０	わざマシン６０	TM60
0184	招式学习器６１	わざマシン６１	TM61
0185	招式学习器６２	わざマシン６２	TM62
0186	招式学习器６３	わざマシン６３	TM63
0187	招式学习器６４	わざマシン６４	TM64
0188	招式学习器６５	わざマシン６５	TM65
0189	招式学习器６６	わざマシン６６	TM66
018A	招式学习器６７	わざマシン６７	TM67
018B	招式学习器６８	わざマシン６８	TM68
018C	招式学习器６９	わざマシン６９	TM69
018D	招式学习器７０	わざマシン７０	TM70
018E	招式学习器７１	わざマシン７１	TM71
018F	招式学习器７２	わざマシン７２	TM72
0190	招式学习器７３	わざマシン７３	TM73
0191	招式学习器７４	わざマシン７４	TM74
0192	招式学习器７５	わざマシン７５	TM75
0193	招式学习器７６	わざマシン７６	TM76
0194	招式学习器７７	わざマシン７７	TM77
0195	招式学习器７８	わざマシン７８	TM78
0196	招式学习器７９	わざマシン７９	TM79
0197	招式学习器８０	わざマシン８０	TM80
0198	招式学习器８１	わざマシン８１	TM81
0199	招式学习器８２	わざマシン８２	TM82
019A	招式学习器８３	わざマシン８３	TM83
019B	招式学习器８４	わざマシン８４	TM84
019C	招式学习器８５	わざマシン８５	TM85
019D	招式学习器８６	わざマシン８６	TM86
019E	招式学习器８７	わざマシン８７	TM87
019F	招式学习器８８	わざマシン８８	TM88
01A0	招式学习器８９	わざマシン８９	TM89
01A1	招式学习器９０	わざマシン９０	TM90
01A2	招式学习器９１	わざマシン９１	TM91
01A3	招式学习器９２	わざマシン９２	TM92
01A5	秘传学习器０２	ひでんマシン０２	HM02
01D2	葛拉西蒂亚花	グラシデアのはな	Gracidea
01E5	红球果	あかぼんぐり	Red Apricorn
01E6	蓝球果	あおぼんぐり	Blue Apricorn
01E7	黄球果	きぼんぐり	Yellow Apricorn
01E8	绿球果	みどぼんぐり	Green Apricorn
01E9	粉球果	ももぼんぐり	Pink Apricorn
01EA	白球果	しろぼんぐり	White Apricorn
01EB	黑球果	くろぼんぐり	Black Apricorn
01EC	速度球	スピードボール	Fast Ball
01ED	等级球	レベルボール	Level Ball
01EE	诱饵球	ルアーボール	Lure Ball
01EF	沉重球	ヘビーボール	Heavy Ball
01F0	甜蜜球	ラブラブボール	Love Ball
01F1	友友球	フレンドボール	Friend Ball
01F2	月亮球	ムーンボール	Moon Ball
01F3	竞赛球	コンペボール	Sport Ball
01F4	公园球	パークボール	Park Ball
021A	进化奇石	しんかのきせき	Eviolite
021B	轻石	かるいし	Float Stone
021C	凸凸头盔	ゴツゴツメット	Rocky Helmet
021D	气球	ふうせん	Air Balloon
021E	红牌	レッドカード	Red Card
021F	标靶	ねらいのまと	Ring Target
0220	紧绑束带	しめつけバンド	Binding Band
0221	球根	きゅうこん	Absorb Bulb
0222	充电电池	じゅうでんち	Cell Battery
0223	逃脱按键	だっしゅつボタン	Eject Button
0234	一般宝石	ノーマルジュエル	Normal Gem
0235	体力之羽	たいりょくのハネ	Health Feather
0236	肌力之羽	きんりょくのハネ	Muscle Feather
0237	抵抗之羽	ていこうのハネ	Resist Feather
0238	智力之羽	ちりょくのハネ	Genius Feather
0239	精神之羽	せいしんのハネ	Clever Feather
023A	瞬发之羽	しゅんぱつのハネ	Swift Feather
023B	美丽之羽	きれいなハネ	Pretty Feather
0240	梦境球	ドリームボール	Dream Ball
0244	芳香蘑菇	かおるキノコ	Balm Mushroom
0245	巨大金珠	でかいきんのたま	Big Nugget
0246	丸子珍珠	おだんごしんじゅ	Pearl String
0247	彗星碎片	すいせいのかけら	Comet Shard
026A	招式学习器９３	わざマシン９３	TM93
026B	招式学习器９４	わざマシン９４	TM94
026C	招式学习器９５	わざマシン９５	TM95
0277	圆形护符	まるいおまもり	Oval Charm
0278	闪耀护符	ひかるおまもり	Shiny Charm
027E	现形镜	うつしかがみ	Reveal Glass
027F	弱点保险	じゃくてんほけん	Weakness Policy
0280	突击背心	とつげきチョッキ	Assault Vest
0284	妖精石板	せいれいプレート	Pixie Plate
0285	特性胶囊	とくせいカプセル	Ability Capsule
0288	光苔	ひかりごけ	Luminous Moss
0289	雪球	ゆきだま	Snowball
028A	防尘护目镜	ぼうじんゴーグル	Safety Goggles
02AE	洛玫果	ロゼルのみ	Roseli Berry
02AF	亚开果	アッキのみ	Kee Berry
02B0	香罗果	タラプのみ	Maranga Berry
02B2	招式学习器９６	わざマシン９６	TM96
02B3	招式学习器９７	わざマシン９７	TM97
02B4	招式学习器９８	わざマシン９８	TM98
02B5	招式学习器９９	わざマシン９９	TM99
02BF	探险心得	たんけんこころえ	Adventure Guide
02C4	密阿雷格雷派饼	ミアレガレット	Lumiose Galette
02C5	娑罗沙布蕾	シャラサブレ	Shalour Sable
02FD	惩戒之壶	いましめのツボ	Prison Bottle
031B	银色王冠	ぎんのおうかん	Bottle Cap
031C	金色王冠	きんのおうかん	Gold Bottle Cap
034E	胆怯球	ビビリだま	Adrenaline Orb
0351	冰之石	こおりのいし	Ice Stone
0353	究极球	ウルトラボール	Beast Ball
0355	朱红色花蜜	くれないのミツ	Red Nectar
0356	金黄色花蜜	やまぶきのミツ	Yellow Nectar
0357	桃粉色花蜜	うすもものミツ	Pink Nectar
0358	兰紫色花蜜	むらさきのミツ	Purple Nectar
036F	大地膜	グランドコート	Terrain Extender
0370	部位护具	ぼうごパット	Protective Pads
0371	电气种子	エレキシード	Electric Seed
0372	精神种子	サイコシード	Psychic Seed
0373	薄雾种子	ミストシード	Misty Seed
0374	青草种子	グラスシード	Grassy Seed
044F	腐朽的剑	くちたけん	Rusted Sword
0450	腐朽的盾	くちたたて	Rusted Shield
045C	甜甜苹果	あまーいりんご	Sweet Apple
045D	酸酸苹果	すっぱいりんご	Tart Apple
045E	爽喉喷雾	のどスプレー	Throat Spray
045F	避难背包	だっしゅつパック	Eject Pack
0460	厚底靴	あつぞこブーツ	Heavy-Duty Boots
0461	打空保险	からぶりほけん	Blunder Policy
0462	客房服务	ルームサービス	Room Service
0463	万能伞	ばんのうがさ	Utility Umbrella
0464	经验糖果ＸＳ	けいけんアメＸＳ	Exp. Candy XS
0465	经验糖果Ｓ	けいけんアメＳ	Exp. Candy S
0466	经验糖果Ｍ	けいけんアメＭ	Exp. Candy M
0467	经验糖果Ｌ	けいけんアメＬ	Exp. Candy L
0468	经验糖果ＸＬ	けいけんアメＸＬ	Exp. Candy XL
04CF	怕寂寞薄荷	さみしがりミント	Lonely Mint
04D0	固执薄荷	いじっぱりミント	Adamant Mint
04D1	顽皮薄荷	やんちゃミント	Naughty Mint
04D2	勇敢薄荷	ゆうかんミント	Brave Mint
04D3	大胆薄荷	ずぶといミント	Bold Mint
04D4	淘气薄荷	わんぱくミント	Impish Mint
04D5	乐天薄荷	のうてんきミント	Lax Mint
04D6	悠闲薄荷	のんきミント	Relaxed Mint
04D7	内敛薄荷	ひかえめミント	Modest Mint
04D8	慢吞吞薄荷	おっとりミント	Mild Mint
04D9	马虎薄荷	うっかりやミント	Rash Mint
04DA	冷静薄荷	れいせいミント	Quiet Mint
04DB	温和薄荷	おだやかミント	Calm Mint
04DC	温顺薄荷	おとなしいミント	Gentle Mint
04DD	慎重薄荷	しんちょうミント	Careful Mint
04DE	自大薄荷	なまいきミント	Sassy Mint
04DF	胆小薄荷	おくびょうミント	Timid Mint
04E0	急躁薄荷	せっかちミント	Hasty Mint
04E1	爽朗薄荷	ようきミント	Jolly Mint
04E2	天真薄荷	むじゃきミント	Naive Mint
04E3	认真薄荷	まじめミント	Serious Mint
04E5	破裂的茶壶	われたポット	Cracked Pot
04E6	缺损的茶壶	かけたポット	Chipped Pot
04F3	防晃护符	ゆれないおまもり	Catching Charm
04FE	洛托姆型录	ロトムのカタログ	Rotom Catalog
062E	伽勒豆蔻手环	ガラナツブレス	Galarica Cuff
0633	经验护符	けいけんおまもり	Exp. Charm
0635	证章护符	あかしのおまもり	Mark Charm
0636	牵绊缰绳	キズナのタヅナ	Reins of Unity
0637	牵绊缰绳	キズナのタヅナ	Reins of Unity
0638	伽勒豆蔻花圈	ガラナツリース	Galarica Wreath
0646	特性膏药	とくせいパッチ	Ability Patch
069B	黑奇石	くろのきせき	Black Augurite
069C	泥炭块	ピートブロック	Peat Block
06F1	大金刚宝玉	だいこんごうだま	Adamant Crystal
06F2	大白宝玉	だいしらたま	Lustrous Globe
06F3	大白金宝玉	だいはっきんだま	Griseous Core
06F4	净空石板	まっさらプレート	Blank Plate
06F9	奇异球	ストレンジボール	Strange Ball
0724	传说石板	レジェンドプレート	Legend Plate
0725	手机洛托姆	スマホロトム	Rotom Phone
0726	三明治		Sandwich
0727	故勒顿的球		Koraidon’s Poké Ball
0728	密勒顿的球		Miraidon’s Poké Ball
0729	太晶珠	テラスタルオーブ	Tera Orb
072A	朱之书	スカーレットブック	Scarlet Book
072B	紫之书	バイオレットブック	Violet Book
072C			Kofu's Wallet
0732			Tiny Bamboo Shoot
0741			Scroll of Darkness
0742			Scroll of Waters
0745	咒术之铠		Malicious Armor
0746	一般太晶碎块		Normal Tera Shard
0747	火太晶碎块		Fire Tera Shard
0748	水太晶碎块		Water Tera Shard
0749	电太晶碎块		Electric Tera Shard
074A	草太晶碎块		Grass Tera Shard
074B	冰太晶碎块		Ice Tera Shard
074C	格斗太晶碎块		Fighting Tera Shard
074D	毒太晶碎块		Poison Tera Shard
074E	地面太晶碎块		Ground Tera Shard
074F	飞行太晶碎块		Flying Tera Shard
0750	超能力太晶碎块		Psychic Tera Shard
0751	虫太晶碎块		Bug Tera Shard
0752	岩石太晶碎块		Rock Tera Shard
0753	幽灵太晶碎块		Ghost Tera Shard
0754	龙太晶碎块		Dragon Tera Shard
0755	恶太晶碎块		Dark Tera Shard
0756	钢太晶碎块		Steel Tera Shard
0757	妖精太晶碎块		Fairy Tera Shard
0758	驱劲能量		Booster Energy
0759	特性护具		Ability Shield
075A	清净坠饰		Clear Amulet
075B	模仿香草		Mirror Herb
075C	拳击手套		Punching Glove
075D	密探斗篷		Covert Cloak
075E	机变骰子		Loaded Dice
0760	长棍面包		Baguette
0761	蛋黄酱		Mayonnaise
0762	番茄酱		Ketchup
0763	黄芥末酱		Mustard
0764	黄油		Butter
0765	花生酱		Peanut Butter
0766	辣酱		Chili Sauce
0767	盐		Salt
0768	胡椒		Pepper
0769	酸奶		Yogurt
076A	鲜奶油		Whipped Cream
076B	奶油芝士		Cream Cheese
076C	莓果酱		Jam
076D	橘子酱		Marmalade
076E	橄榄油		Olive Oil
076F	醋		Vinegar
0770	秘传：甜味料		Sweet Herba Mystica
0771	秘传：咸味料		Salty Herba Mystica
0772	秘传：酸味料		Sour Herba Mystica
0773	秘传：苦味料		Bitter Herba Mystica
0774	秘传：辣味料		Spicy Herba Mystica
0775	生菜		Lettuce
0776	番茄片		Tomato
0777	小番茄块		Cherry Tomatoes
0778	小黄瓜片		Cucumber
0779	酸黄瓜片		Pickle
077A	洋葱片		Onion
077B	红洋葱		Red Onion
077C	青椒片		Green Bell Pepper
077D	红椒片		Red Bell Pepper
077E	黄椒片		Yellow Bell Pepper
077F	牛油果		Avocado
0780	煎培根		Bacon
0781	火腿片		Ham
0782	生火腿		Prosciutto
0783	煎辣香肠		Chorizo
0784	香草香肠		Herbed Sausage
0785	汉堡排		Hamburger
0786	毛崖蟹棒		Klawf Stick
0787	烟熏鱼片		Smoked Fillet
0788	炸鱼片		Fried Fillet
0789	水煮蛋片		Egg
078A	烘蛋		Potato Tortilla
078B	豆腐		Tofu
078C	米饭		Rice
078D	面条		Noodles
078E	土豆沙拉		Potato Salad
078F	芝士片		Cheese
0790	香蕉片		Banana
0791	草莓片		Strawberry
0792	苹果片		Apple
0793	奇异果片		Kiwi
0794	凤梨片		Pineapple
0795	小辣椒		Jalapeño
0796	辣根		Horseradish
0797	咖喱粉		Curry Powder
0798	芥末酱		Wasabi
0799	豆瓣菜		Watercress
079A	罗勒		Basil
07A4	毛球的牙		Venonat Fang
07A5	地鼠的土		Diglett Dirt
07A6	喵喵的毛		Meowth Fur
07A7	可达鸭的羽绒		Psyduck Down
07A8	猴怪的毛		Mankey Fur
07A9	卡蒂狗的毛		Growlithe Fur
07AA	呆呆兽的爪子		Slowpoke Claw
07AB	小磁怪的螺丝		Magnemite Screw
07AC	臭泥的毒素		Grimer Toxin
07AD	大舌贝的珍珠		Shellder Pearl
07AE	鬼斯的气体		Gastly Gas
07AF	催眠貘的毛		Drowzee Fur
07B0	霹雳电球的电力		Voltorb Sparks
07B1	飞天螳螂的爪子		Scyther Claw
07B2	肯泰罗的毛		Tauros Hair
07B3	鲤鱼王的鳞片		Magikarp Scales
07B4	百变怪的黏糊		Ditto Goo
07B5	伊布的毛		Eevee Fur
07B6	迷你龙的鳞片		Dratini Scales
07B7	皮丘的毛		Pichu Fur
07B8	宝宝丁的毛		Igglybuff Fluff
07B9	咩利羊的毛球		Mareep Wool
07BA	毽子草的叶片		Hoppip Leaf
07BB	向日种子的叶片		Sunkern Leaf
07BC	黑暗鸦的宝物		Murkrow Bauble
07BD	梦妖的眼泪		Misdreavus Tears
07BE	麒麟奇的毛		Girafarig Fur
07BF	榛果球的壳		Pineco Husk
07C0	土龙弟弟的鳞片		Dunsparce Scales
07C1	千针鱼的刺		Qwilfish Spines
07C2	赫拉克罗斯的爪子		Heracross Claw
07C3	狃拉的爪子		Sneasel Claw
